rot_x	rot_y	rot_z	trans_x	trans_y	trans_z	framewise_displacement
9.6816e-05	-0.000422469	0.0	-0.0219361	0.0320186	-0.0461026	0.060010690000000005
0.00013574	-0.000157195	0.0	-0.0177415	0.0358605	-0.0248282	0.0445208
0.000190759	-0.000422469	0.0	-0.0185991	0.0426887	-0.0556464	0.05451865000000001
-0.000120924	-0.000422469	0.0	0.00146573	0.0626293	-0.0500898	0.061146179999999994
0.000135384	6.04443e-05	0.0	0.00147815	0.0427004	-0.043648	0.063344185
0.000102861	7.754489999999998e-05	0.0	0.00381341	0.044006	-0.0573548	0.01982884
0.000362324	0.000178562	0.0	0.00149482	0.0516717	-0.0376086	0.047754495
0.00042228	0.000102739	0.0	0.00605879	0.044992	-0.0399364	0.02036042
0.000405466	0.000155227	5.12185e-05	0.0073345299999999	0.0450087	-0.0420992	0.009481264999999907
0.000305811	0.000431437	0.0	0.0114931	0.0584235	-0.0238353	0.057191445000000105
0.00033059	0.000123348	6.06159e-05	0.0038904	0.0267223	-0.0238447	0.058987495
0.000263269	0.000193253	8.142379999999998e-05	0.0167857	0.047058	-0.0136679	0.051309495000000004
0.000264295	0.000255533	0.0	0.0178492	0.0435526	-0.018854	0.016991490000000005
7.602079999999998e-05	0.000205291	0.0	0.0178326	0.0562408	-0.0221698	0.02794641
-8.214809999999998e-05	5.99097e-05	0.0	0.0178498	0.0715041	-0.0202644	0.032363409999999995
-0.000274639	-1.0099e-05	5.77689e-05	0.0178443	0.0488826	-0.0304662	0.04884222500000002
0.000181863	0.000234681	0.0	0.017834	0.0153782	-0.0293267	0.072606745
-0.000329669	0.000145444	0.0	0.0178477	0.0237442	-0.0305159	0.03960735
0.000111404	0.000145444	0.0	0.0119873	0.0488877	-0.0193743	0.06419915000000001
-0.000224843	3.48199e-05	0.0	0.00169501	0.0644306	-0.0282542	0.057058645000000005
0.000380081	0.000145444	0.0	0.000633889	0.0418371	-0.0347922	0.065970026
0.000218647	0.00013028	6.10481e-05	-0.000369894	0.0676118	-0.0170722	0.05638078800000001
0.000100412	-0.000217194	0.0	-0.0155425	0.0356928	-0.030744	0.08710126100000001
0.000401018	0.000154886	0.0	0.0104364	0.04986	-0.0316216	0.074658
0.000278846	3.28055e-05	0.0	0.00409914	0.0676192	-0.0153446	0.052586085
0.000265962	0.000591251	9.10327e-05	0.0104362	0.0461683	-0.015341	0.06090967
0.000305786	3.28055e-05	0.0	-0.0065615	0.0465731	-0.0429397	0.07946630999999998
0.00051036	3.28055e-05	0.000129347	-0.00956098	0.0521199	-0.0592863	0.041588929999999996
0.000485745	-0.000114134	0.0	-0.013211	0.0421044	-0.0486412	0.039355694999999996
0.0008244049999999	0.000254777	0.00012263	0.00559675	0.0653549	-0.0592912	0.094218299999995
0.000637293	3.28055e-05	0.0	-0.015682	0.0529123	-0.0692994	0.07031522499999499
0.0008954549999999	3.28055e-05	0.0	-0.00342455	0.0478046	-0.0593137	0.040258949999995006
0.000626671	-3.29075e-05	0.0	-0.00109791	0.0933541	-0.0532933	0.07062138999999498
0.000687592	3.28055e-05	0.0	0.0010683	0.0733010999999999	-0.0683159	0.0435735100000001
0.000626671	3.28055e-05	0.0	0.0023114	0.0669	-0.0606178	0.018388349999999897
0.00102868	3.28055e-05	0.0	0.0023114	0.0484887	-0.0609572	0.03885115
0.000626671	0.000130675	5.57901e-05	0.00231802	0.0554794	-0.0640966	0.03792014999999999
0.000685634	3.28055e-05	0.0	0.0023114	0.066898	-0.0655125	0.023472249999999997
0.0007630669999999	3.28056e-05	0.0	0.0023114	0.0615774	-0.0627801	0.011924654999995002
0.00108776	3.28055e-05	0.0	0.0023114	0.0668863	-0.061331	0.022992655000005004
0.000674616	3.28056e-05	6.04586e-05	0.00231364	0.082397	-0.075059	0.052921075000000005
-0.000153082	3.28056e-05	-5.19665e-05	0.0180611	0.0312752	-0.0659614	0.122973015
5.95671e-05	0.000121757	6.31157e-05	0.00232068	0.074672	-0.0864976999999999	0.1005076549999999
0.000148165	0.0001892	0.0	0.0023108	0.0638492	-0.0507251	0.057563109999999904
3.44733e-05	3.28056e-05	0.0	0.00858828	0.062834	-0.0624629	0.032534785
0.000204613	3.28056e-05	0.0	-0.000613779	0.0628334	-0.0566096	0.023562944000000002
0.000473187	7.491479999999998e-05	0.0	0.00231227	0.0582944	-0.0668736	0.033263208999999995
-0.000205497	4.0047e-05	5.68193e-05	0.0123192	0.0746209	-0.0679539	0.065932285
0.000392198	-1.886e-05	0.0	0.00229063	0.0628399	-0.0703159	0.059842635000000005
0.000333669	-0.000322028	0.0	-0.0177056	0.0708104	-0.0708028	0.04653847999999999
0.000123685	-0.000429788	-7.11389e-05	-0.0176976	0.0427064	-0.0852847999999999	0.0620381449999999
0.000392198	-0.000313114	6.0487e-05	-0.0129932	0.0287425	-0.0874237999999999	0.046647944999999996
0.000392198	-0.000356166	0.0	-0.0176964	0.075197	-0.0954082	0.0643190500000001
0.000392198	-0.000478911	0.0	-0.0146197	0.0686771	-0.102559	0.022884649999999996
0.000392198	-0.000533089	0.0	-0.0177024	0.043385	-0.0994854	0.0341573
0.000683889	-0.000415594	9.13744e-05	-0.0176885	0.0589837	-0.101369	0.04252422
0.00126563	-0.000583323	0.0	-0.0177044	0.067709	-0.10883	0.05824442
0.00101563	-0.000583323	8.23325e-05	-0.0177037	0.0522374	-0.126087	0.04934592500000001
0.00101563	-0.000523547	0.0	-0.0176995	0.0726191999999999	-0.115544	0.0380344249999999
0.000906554	-0.000583323	0.0	-0.0177044	0.0778742999999999	-0.120306	0.0184646
0.00126775	-0.000583323	0.0	-0.0177044	0.0778389	-0.145416	0.04320519999999989
0.00187168	-0.000531701	0.0	-0.0177012	0.0653006	-0.12827	0.06246509999999999
0.00211048	-0.000583323	0.0	-0.01538	0.077423	-0.125439	0.03179570000000001
0.00209347	-0.000583323	0.0	-0.0177044	0.0730124999999999	-0.155616	0.03776240000000012
0.00164998	-0.000447101	0.0	-0.0132311	0.109778	-0.148777	0.07706340000000013
0.00184347	3.93342e-05	0.0	0.00220726	0.0781836999999999	-0.13772	0.09208592000000008
0.00209347	-5.21008e-06	0.000211263	0.00221017	0.0875909	-0.120276	0.05214447400000012
0.00199805	1.23407e-05	0.0	0.00222081	0.0891806	-0.136392	0.033928029000000026
0.0014213	7.08241e-05	0.0	0.0022073	0.100722	-0.12588	0.05382858000000003
0.00191814	7.08241e-05	0.0	0.0022073	0.0856518	-0.120262	0.04553020000000001
0.00198746	7.08241e-05	0.0	0.0022073	0.0614778	-0.108692	0.039209999999999995
0.00136884	-0.000539884	0.0	-0.00915642	0.113732	-0.0493262	0.18445012499999996
0.00167135	-0.000814935	0.0	-0.0199647	0.1252	0.029087	0.12956753
0.00143353	-0.000539884	0.0	0.00692533	-0.112661	-0.0637717	0.38325328
0.000925969	-0.00090818	0.0	-0.000655192	0.115221	-0.0616929	0.281334172
